Term,Correct Definition,Wrong Definition 1,Wrong Definition 2,Wrong Definition 3
Submissive,"A participant who yields control, authority, or agency to another, often within a structured dynamic.","The dominant person who sets all the rules.","A type of restraint involving leather straps.","A person who is new to the community and seeking mentorship."
Dominant,"A participant who takes control, authority, and agency over another, often within a structured dynamic.","The person who solely cleans up after a scene.","The act of a bottom refusing an instruction.","A safety word used to signal a soft limit."
Kink,"A non-traditional sexual preference or practice that involves power exchange or role-playing.","The set of rules defined before a scene begins.","A specific type of safe word that means 'slow down'.","A public performance of a BDSM scene."
Safeword,"A pre-agreed-upon word or phrase used by a participant to immediately stop or pause a scene.","A specific binding technique using hemp rope.","A person who observes a scene but does not participate.","The official title of a Master/Mistress."
Aftercare,"The period following a scene dedicated to physical and emotional comfort, reassurance, and recovery.","A specific type of leather whip used for light impact.","The pre-scene negotiation process.","The initial vetting process for a new partner."
Brat,"A submissive who deliberately misbehaves or tests the dominant's boundaries to encourage structured discipline.","The term for a very experienced dominant.","A person who documents BDSM events.","A form of sensual massage used in non-kink settings."
Switch,"A participant comfortable taking on both Dominant and Submissive roles, depending on the dynamic or partner.","A special type of collar worn only during play.","The person responsible for setting up the dungeon space.","A strict rule against kissing during a scene."
Service Top,"A dominant who derives pleasure from physically or emotionally serving their submissive, often through tasks or praise.","A submissive who exclusively performs household chores.","A specific technique for wrapping heavy chains.","The act of a dominant punishing their submissive."
Protocol,"A set of rules, behaviors, or rituals established between participants to govern their dynamic.","The special rope used only for shibari.","The name of a popular BDSM club.","A formal term for a safe word."
Non-Negotiable,"A boundary or limitation that cannot be crossed under any circumstances.","A type of light-hearted punishment involving tickling.","A scene involving two bottoms and one top.","The time immediately following a scene."
Consent,"Enthusiastic, continuous, sober, and informed agreement to engage in an activity.","A strict punishment for breaking a rule.","The feeling of being overpowered in a good way.","The period before a scene where participants clean up."
Degradation,"A scene involving verbally diminishing a submissive's self-worth for the sake of the dynamic.","A special harness used for suspension.","The feeling of intense sadness after a scene.","A specific type of medical examination before kink activity."
Praise,"Positive verbal affirmation used by a dominant to reward or encourage a submissive.","The act of a submissive bowing to their dominant.","The use of electricity in a scene.","A specific knot used in bondage."
