category,question,option_a,option_b,option_c,option_d,correct_answer,explanation
"Basic Terminology & Concepts","What is the term for a person who takes the dominant role in a BDSM relationship?","The person who enjoys both dominant and submissive roles","The person who takes the controlling or leading role","The person who surrenders control to their partner","A person who prefers conventional sexual practices","1","A Dominant is the person who takes the controlling or leading role in BDSM activities."
"Basic Terminology & Concepts","What does Femdom specifically refer to?","A formal set of rules followed in a BDSM relationship","A relationship dynamic where the submissive partner is female","A portmanteau for female domination, where the dominant partner is female","A historical movement within feminist ideology","2","Femdom is a portmanteau of female domination, referring to BDSM activities where the dominant partner is female."
"Basic Terminology & Concepts","What is a ""submissive""?","A binding agreement outlining the limits of a BDSM relationship","The pre-negotiated term used to stop all play immediately","The partner responsible for directing the scene and its activities","The partner who voluntarily surrenders control to a dominant","3","A submissive is the person who voluntarily surrenders control to a dominant partner within agreed-upon limits."
"Basic Terminology & Concepts","What is Aftercare?","A form of consensual restraint using ropes or cuffs","The care and comfort given to partners after a scene to ensure well-being","The process of discussing limits and desires before a scene begins","A symbolic item representing ownership in a dynamic","1","Aftercare refers to the care and comfort given to partners after a BDSM scene to ensure emotional and physical well-being."
"Basic Terminology & Concepts","What does ""SSC"" stand for in BDSM contexts?","Strong, Secure, Controlled - emphasizing physical safety","Sensation, Submission, Control - describing common activities","Safe, Sane, Consensual - a fundamental ethical principle","Silent, Secret, Confidential - regarding privacy","2","SSC stands for Safe, Sane, and Consensual - a fundamental principle emphasizing safety and consent in BDSM practices."
"Basic Terminology & Concepts","What is a ""safeword""?","A formal title used to address a dominant partner","A secret code shared only between play partners","A pre-agreed word that can stop activity immediately if needed","A type of punishment for breaking established rules","2","A safeword is a pre-agreed word that either partner can use to stop the activity immediately if they feel uncomfortable or unsafe."
"Basic Terminology & Concepts","What does BDSM stand for?","Binding, Dominance, Submission, Masochism","Bondage, Dominance, Submission, Masochism","Bondage, Discipline, Sadism, Masochism","Bondage, Discipline, Submission, Masochism","2","BDSM stands for Bondage, Discipline, Sadism, and Masochism - encompassing various practices and dynamics."
"Basic Terminology & Concepts","What is Bondage?","A formal agreement between partners","A safety procedure for all BDSM activities","The practice of consensual restraint for erotic purposes","A specific type of impact play using ropes","2","Bondage involves the consensual restraint of a partner using ropes, cuffs, or other devices for erotic or aesthetic purposes."
"Basic Terminology & Concepts","What is a ""switch""?","A safety device used in suspension bondage","A type of whip used in impact play","A formal title in master/slave dynamics","Someone who enjoys both dominant and submissive roles","3","A switch is a person who enjoys taking both dominant and submissive roles in BDSM activities, depending on the situation or partner."
"Basic Terminology & Concepts","What is Impact Play?","Psychological games involving power exchange","Financial domination and control","Role-playing different age scenarios","Activities involving hitting or striking with implements","3","Impact play refers to BDSM activities that involve hitting or striking with implements like floggers, paddles, or hands."
"Basic Terminology & Concepts","What does RACK stand for?","Rules And Control Knowledge","Respect And Consensual Knowledge","Restraint And Careful Kinetics","Risk-Aware Consensual Kink","3","RACK stands for Risk-Aware Consensual Kink, emphasizing that participants are aware of and accept the risks involved."
"Basic Terminology & Concepts","What is a ""scene"" in BDSM?","The location where BDSM activities occur","A dramatic argument between partners","A type of formal negotiation process","A specific BDSM session or play event","3","A scene is a specific BDSM session or play event that has a beginning and end, often with specific goals or themes."
"Basic Terminology & Concepts","What is Vanilla in the context of BDSM?","A type of beginner in BDSM practices","A specific safety procedure to follow","Conventional sexual practices without BDSM elements","A flavor of lubricant used in play","2","Vanilla refers to conventional sexual practices that don't involve BDSM elements or kink."
"Basic Terminology & Concepts","What is a Play Partner?","A beginner learning about BDSM","Someone you perform theater with","A type of dominant specializing in scenes","A BDSM partner for specific scenes, not necessarily romantic","3","A play partner is someone with whom you engage in BDSM activities, but may not have a romantic or full-time relationship with."
"Basic Terminology & Concepts","What does CNC stand for?","Computer Numerical Control","Careful Negotiated Contact","Consensual Neutral Control","Consensual Non-Consent","3","CNC stands for Consensual Non-Consent, referring to pre-negotiated scenes that simulate non-consensual situations."
"Basic Terminology & Concepts","What is a Hard Limit?","A difficult restriction to maintain during play","A type of advanced bondage technique","An activity someone is hesitant about but might try","An activity someone absolutely will not do under any circumstances","3","A hard limit is an activity that someone absolutely will not participate in under any circumstances."
"Basic Terminology & Concepts","What is a ""soft Limit""?","A comfortable restriction that's easy to follow","A type of padding used in impact play","A beginner's first established boundary","An activity someone is hesitant about but might try under conditions","3","A soft limit is an activity that someone is hesitant about but might be willing to try under certain conditions."
"Basic Terminology & Concepts","What is Negotiation in BDSM?","Business discussions about BDSM equipment","A type of punishment for misbehavior","The process of discussing limits and desires before a scene","A form of aftercare following intense play","2","Negotiation is the process where partners discuss their limits, desires, safewords, and expectations before engaging in a scene."
"Basic Terminology & Concepts","What is Topping?","The best partner in a BDSM community","The beginning phase of any BDSM scene","A specific type of impact play technique","Taking the dominant or active role during a scene","3","Topping refers to taking the dominant or active role during a BDSM scene, regardless of one's overall orientation."
"Basic Terminology & Concepts","What is Bottoming?","The worst possible outcome of a scene","The end phase of BDSM activities","A specific bondage position","Taking the submissive or receptive role during a scene","3","Bottoming refers to taking the submissive or receptive role during a BDSM scene, regardless of one's overall orientation."
"Basic Terminology & Concepts","What is a Play Space?","A psychological state during intense play","A children's play area adapted for adults","A type of relationship dynamic","A designated area specifically for BDSM activities","3","A play space is a designated area, often in a dungeon or private home, specifically set up for BDSM activities."
"Basic Terminology & Concepts","What does M/s stand for?","Mutual/submission","Master/service","Main/switch","Master/slave","3","M/s stands for Master/slave, describing a relationship dynamic with clear ownership and service roles."
"Basic Terminology & Concepts","What does D/s stand for?","Discipline/service","Dynamic/switch","Domination/submission","Dominant/submissive","3","D/s stands for Dominant/submissive, describing the power exchange relationship dynamic."
"Basic Terminology & Concepts","What is Edge Play?","Beginner-level BDSM activities","Playing games near physical edges or cliffs","Outdoor BDSM activities","BDSM activities with higher physical or psychological risks","3","Edge play refers to BDSM activities that involve higher levels of physical, emotional, or psychological risk."
"Basic Terminology & Concepts","What is a Munch?","A BDSM technique using the mouth","A type of food served at BDSM events","A casual social gathering for kinky people in public","A type of party with strict dress code","2","A munch is a casual social gathering, often in a public place like a restaurant, where people interested in BDSM can meet and socialize."
"Basic Terminology & Concepts","What is Headspace?","The top area of a dungeon space","A type of protective helmet","A meditation technique used before scenes","The psychological state experienced during BDSM activities","3","Headspace refers to the psychological or emotional state someone experiences during BDSM activities."
"Basic Terminology & Concepts","What is ""subspace""?","A secondary location for BDSM activities","A beginner's introductory state","A type of relationship structure","An altered state of consciousness some submissives experience","3","Subspace is an altered state of consciousness that some submissives experience during intense scenes, often characterized by euphoria and reduced pain sensitivity."
"Basic Terminology & Concepts","What is Topspace?","The best location for setting up a scene","The beginning phase of any BDSM activity","A type of furniture used in dungeons","The psychological state dominants experience during scenes","3","Topspace is the psychological state that dominants may experience during intense scenes, often characterized by heightened focus and awareness."
"Basic Terminology & Concepts","What is Protocol?","A type of computer networking language","A safety procedure for emergency situations","A formal contract between partners","Formal rules and etiquette in a BDSM relationship","3","Protocol refers to the formal rules, rituals, and etiquette established in a BDSM relationship or dynamic."
"Basic Terminology & Concepts","What is 24/7 in BDSM?","Store hours for BDSM shops","A safety rule for constant communication","A type of punishment duration","A full-time BDSM relationship dynamic","3","24/7 refers to a BDSM relationship where the power dynamic is maintained continuously, not just during specific scenes."
"Basic Terminology & Concepts","What is TPE?","Temporary Play Environment","Total Protocol Enforcement","Temporary Power Exchange","Total Power Exchange","3","TPE stands for Total Power Exchange, describing relationships where the submissive gives complete authority to the dominant."
"Basic Terminology & Concepts","What is Objectification?","Making a decision based on objective facts","A scientific process of categorization","A type of meditation practice","Treating a person as an object for sexual pleasure","3","Objectification is a BDSM practice where a person is treated as an object for sexual pleasure or service."
"Basic Terminology & Concepts","What is Age Play?","Playing games regardless of participants' ages","Learning about historical periods","A type of competitive activity","Role-playing where participants take on different ages","3","Age play involves role-playing where participants take on roles of different ages, such as caregiver/little or teacher/student."
"Basic Terminology & Concepts","What is Pet Play?","Playing with actual animals","Outdoor recreational activities","A type of veterinary practice","Role-playing where a person takes on animal characteristics","3","Pet play involves role-playing where a person takes on the characteristics and behaviors of an animal, often with a handler."
"Basic Terminology & Concepts","What is AB/DL?","Absolute Bondage/Discipline Lifestyle","Advanced Bondage/Dominance Learning","Adult Bondage/Diaper Lifestyle","Adult Baby/Diaper Lover","3","AB/DL stands for Adult Baby/Diaper Lover, referring to age play involving adult baby or diaper lover themes."
"Basic Terminology & Concepts","What is Forced Bi?","Forced bicycle exercise","A type of strict bondage","A mandatory bilateral agreement","Coerced bisexuality within consensual role-play","3","Forced bi refers to role-play scenarios where someone is forced into bisexual activities, always within consensual boundaries."
"Basic Terminology & Concepts","What is Cuckolding?","A specific type of bird behavior","A form of cooking technique","A type of punishment ritual","A practice where someone watches their partner with another","3","Cuckolding involves a person deriving sexual pleasure from watching their partner have sex with someone else, often with humiliation elements."
"Basic Terminology & Concepts","What is Cuckqueaning?","A cooking technique for royalty","A type of service submission","A form of financial domination","The female equivalent of cuckolding","3","Cuckqueaning is the female equivalent of cuckolding, where a woman watches her partner with another woman."
"Basic Terminology & Concepts","What is Findom?","Final domination in a scene","First domination experience","Fine domination technique","Financial domination","3","Findom stands for Financial Domination, where the submissive derives pleasure from giving money or financial control to the dominant."
"Basic Terminology & Concepts","What is ""sensation Play""?","Playing with emotional responses","Psychological mind games","Theatrical role-playing activities","Activities focused on different physical sensations","3","Sensation play involves BDSM activities that focus on experiencing different physical sensations, both pleasurable and painful."
"Basic Terminology & Concepts","What is Medical Play?","Playing doctor as children do","Learning first aid for BDSM safety","A type of service submission","BDSM activities with medical themes and equipment","3","Medical play involves BDSM activities that incorporate medical themes, role-play, and sometimes equipment."
"Basic Terminology & Concepts","What is Fire Play?","Playing with matches or lighters","A dangerous activity to avoid","Using candles for atmosphere","BDSM activities involving controlled use of fire","3","Fire play involves the controlled use of fire in BDSM activities, such as fire cupping or flash cotton."
"Basic Terminology & Concepts","What is Wax Play?","Making homemade candles","A type of art therapy","Playing with melted cheese","Dripping hot wax on the body for sensation","3","Wax play involves dripping hot wax from candles onto the body for sensual or painful sensation."
"Basic Terminology & Concepts","What is ""shibari""?","A Japanese food preparation method","A meditation practice","A type of martial art","Japanese artistic rope bondage","3","Shibari is the Japanese art of aesthetic rope bondage, focusing on the beauty of the ties and the connection between partners."
"Basic Terminology & Concepts","What is Kinbaku?","A type of Japanese cuisine","A martial arts technique","A meditation practice","Japanese for 'beautiful binding' in rope bondage","3","Kinbaku means beautiful binding in Japanese and refers to the erotic and artistic aspects of Japanese rope bondage."
"Basic Terminology & Concepts","What is ""suspension""?","A temporary ban from community events","A waiting period between scenes","A type of punishment technique","Lifting a person off the ground using bondage","3","Suspension in BDSM involves lifting a person completely or partially off the ground using ropes or other bondage equipment."
"Basic Terminology & Concepts","What is Predicament Bondage?","A difficult situation in relationship dynamics","A type of formal contract","A safety concern to avoid","Bondage that puts the submissive in challenging positions","3","Predicament bondage involves tying someone in a position where they must choose between two or more uncomfortable options."
"Basic Terminology & Concepts","What is Breath Play?","Playing wind instruments during scenes","Outdoor activities in fresh air","A type of meditation practice","Activities involving control or restriction of breathing","3","Breath play involves activities that control or restrict breathing for erotic purposes. Note: This is considered edge play due to significant risks."
"Basic Terminology & Concepts","What is Knife Play?","Cooking together as an activity","A dangerous game to avoid","A type of combat training","Activities involving knives for sensation and threat","3","Knife play involves using knives for sensation, threat, and psychological play, always with extreme care and consent."
"Basic Terminology & Concepts","What is Blood Play?","Playing with fake blood for theater","A medical procedure for testing","A type of artistic expression","Activities involving intentional drawing of blood","3","Blood play involves intentionally drawing blood, often through cutting or needle play, for erotic or ritual purposes."
"Practices & Activities","What is Flogging?","A type of sailing technique","A dance move in certain cultures","A cooking method","Impact play using a multi-tailed whip","3","Flogging is impact play using a flogger, which is a whip with multiple tails, to strike various parts of the body."
"Practices & Activities","What is Caning?","Making chairs from natural materials","A type of fishing technique","A walking aid for mobility","Impact play using a flexible cane","3","Caning is impact play using a flexible cane, typically made of rattan, to deliver sharp, stinging sensations."
"Practices & Activities","What is ""spanking""?","A cooking method for meat","A form of greeting in some cultures","A type of dance move","Impact play using hands on buttocks","3","Spanking is impact play using the hand to strike the buttocks, often for punishment, sensation, or erotic pleasure."
"Practices & Activities","What is Paddling?","A water sport with boats","A cooking utensil for mixing","A type of boat propulsion","Impact play using a flat implement","3","Paddling is impact play using a paddle, which is a flat implement, to deliver thudding or stinging sensations."
"Practices & Activities","What is Electrical Play?","Playing video games with electronics","A type of massage therapy","Using electrical devices for body sensation","Water-based activities with electric elements","2","Electrical play (or e-stim) uses devices like TENS units to deliver controlled electrical currents to the body for sensation."
"Practices & Activities","What is a Gag?","A joke told during scenes","A surprised facial expression","A type of formal agreement","Something placed to prevent or restrict speech","3","A gag is a device used in BDSM to restrict speech, often for humiliation or to enhance a sense of helplessness."
"Practices & Activities","What is Chastity in a BDSM context?","Being morally pure in lifestyle","A type of city or location","A form of spiritual prayer","The practice of denying orgasm or sexual stimulation","3","Chastity in BDSM involves the control of a submissive's orgasms or sexual access, often enforced by a device."
"Practices & Activities","What is a Chastity Device?","A moral code of conduct","A security system for homes","A type of locking mechanism","A device preventing sexual stimulation or orgasm","3","A chastity device is a lockable device worn to prevent sexual activity or orgasm, often used in power exchange dynamics."
